,Artist ID,Primary Artist,Added At,Release Date,Days Until Discovery,Followers,Genres,Artist Popularity
543,1uiEZYehlNivdK3iQyAbye,Tom Misch,2015-03-02T19:39:36Z,2014-11-03,119.0,530103,"['indie r&b', 'indie soul']",74
544,1uvnDqn7UvVy6orSq1E2YF,Sungazer,2019-10-03T17:18:25Z,2018-01-01,640.0,23576,"['livetronica', 'progressive jazz fusion']",39
545,1vPmwfwytzhoK1cXXWzQWI,Richard Spaven,2016-05-03T05:58:14Z,2014-07-07,20.0,11550,"['indie jazz', 'indie soul', 'neo r&b', 'uk contemporary jazz']",40
546,1vgjN6nIPNKiiQGE9PtzTT,Lisa Lisa & Cult Jam,2018-06-19T17:58:21Z,1999-10-08,6829.0,151452,"['electro', 'freestyle', 'funk', 'new jack swing', 'quiet storm']",50
547,1vmLIa1VRY38hZoar8AyYS,Chester Watson,2015-02-04T22:07:30Z,2014-03-09,332.0,36612,['underground hip hop'],51
548,1wmiQ6ytATiGnJs6uFluKO,Jay Som,2017-05-31T04:51:36Z,2017-03-10,82.0,65288,"['art pop', 'bay area indie', 'chamber pop', 'chillwave', 'dream pop', 'electropop', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'indietronica', 'nu gaze', 'oakland indie', 'small room']",57
549,1x82CGsqYeEgaL2ZrW7Khm,Kenny Rankin,2018-04-19T22:39:44Z,2008,3761.0,13126,['audiophile vocal'],38
550,1xRYkvHwlra27yH4nQrsoa,Wolfgang Mitterer,2018-10-04T18:40:35Z,2018-07-13,83.0,361,"['21st century classical', 'austrian contemporary classical']",20
551,1xU7tQkYahN1eWbgEzoure,Penguin Cafe,2017-11-29T17:59:13Z,2017-05-05,208.0,11587,"['compositional ambient', 'neo-classical']",41
552,1xU878Z1QtBldR7ru9owdU,Phoenix,2013-11-02T10:22:24Z,2000-03-06,193.0,1527220,"['alternative dance', 'dance-punk', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new rave']",69
553,1xw2D0SqXA6qm7akRYJCMg,Ruth Crawford Seeger,2012-12-07T12:10:39Z,2005-07-01,2716.0,611,"['american modern classical', 'avant-garde', 'deep free jazz']",23
554,1yDbenrXWhaQij3SCpsXe7,How To Destroy Angels,2012-01-26T06:38:32Z,2011-12-09,24.0,78772,"['alternative metal', 'electronic rock', 'industrial metal', 'industrial rock']",43
555,1ye5HGcCkbXNiQPllTKifF,The Washover Fans,2012-05-07T10:33:00Z,2012-03-20,48.0,191,[],3
556,1yxSLGMDHlW21z4YXirZDS,The Black Eyed Peas,2018-01-15T22:33:36Z,2018-01-09,6.0,3837621,"['dance pop', 'pop', 'pop rap']",87
