,Artist ID,Followers,Genres,Artist Popularity
178,0Lpr5wXzWLtDWm1SjNbpPb,149831,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'philly soul', 'power pop', 'psychedelic rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'symphonic rock', 'zolo']",59
179,56Ly9KlUgoX57pVDe2amch,228,[],9
180,50DZ6ErP4fnnfknUijeIez,65,[],3
181,53wZLCnhshZKDRs3uopFBc,110220,"['alternative r&b', 'art pop', 'chillwave', 'electropop', 'escape room', 'indie r&b', 'indie soul', 'indietronica']",57
182,2fMe9lZs5HGGOwh8cMSIub,43889,"['chillwave', 'drill and bass', 'electronica', 'indietronica', 'intelligent dance music', 'microhouse', 'minimal techno', 'wonky']",46
183,7ltDVBr6mKbRvohxheJ9h1,1828884,['r&b en espanol'],85
184,3a4IiCnFeozUcEPbCREbII,2190,"['chamber psych', 'garage psych', 'neo-psychedelic', 'psych gaze']",26
185,2zAvisjImPICTNsRgagqlV,63882,"['alternative country', 'alternative rock', 'anti-folk', 'chamber pop', 'folk', 'folk-pop', 'freak folk', 'indie folk', 'indie rock', 'lo-fi', 'melancholia', 'new americana', 'roots rock', 'singer-songwriter', 'slow core', 'stomp and holler']",53
186,0qu422H5MOoQxGjd4IzHbS,49734,"['art pop', 'chamber psych', 'chillwave', 'escape room', 'experimental pop', 'fluxwork', 'hyperpop', 'indietronica']",51
187,1YZEoYFXx4AxVv13OiOPvZ,430598,"['chamber pop', 'folk-pop', 'freak folk']",65
188,5LVp2pGNzmOQqXzziBBR5x,110625,"['chanson', 'french indie pop', 'french pop', 'french rock']",59
189,2JFljHPanIjYy2QqfNYvC0,189571,"['djent', 'instrumental math rock', 'instrumental rock', 'progressive jazz fusion', 'progressive post-hardcore', 'san diego indie']",59
190,1aX2dmV8XoHYCOQRxjPESG,520310,"['art rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'synthpop']",65
191,6cM1vbrKTztN2uNjH8ub6F,719,[],16
192,2nJbrvWs3yqrNhHFOIuiFx,515,[],13
193,0Z5FMozvx15nUSUA6a9kkU,57028,"['british jazz', 'chamber psych', 'indie jazz']",50
194,7iUF39q93Xixo33E6IvNYm,12862,"['indie jazz', 'jazz brass', 'jazz trumpet', 'neo r&b']",40
195,3LRldYGJpCAQT5cZKQyi7o,10834,['folktronica'],38
196,5DAYFETp2MfJgHkgbkJvoX,9719,['indie folk'],41
197,0wJIP9Wlhn3aSLLaB31IK3,2617,"['alternative r&b', 'neo r&b']",26
198,66tv0Nc5AOVkeyMGS25rJh,1890,"['contemporary jazz', 'dark jazz', 'dutch jazz', 'jazz double bass', 'norwegian jazz']",32
199,61WgG5fz5ilJrMne7tE1zu,15391,"['ambient', 'art pop', 'drone', 'electra', 'experimental ambient', 'fluxwork', 'fourth world', 'italian experimental', 'new isolationism', 'outsider house', 'sound art']",39
200,0yNSzH5nZmHzeE2xn6Xshb,1950648,"['latin', 'latin afrobeat', 'latin alternative', 'latin hip hop', 'puerto rican rock', 'rap conciencia', 'reggaeton', 'tropical']",75
201,2KvWE2yC2SS2fck2WOm8Kv,2436,['batida'],28
202,5juOkIIy18sFw9L30syt1Z,353131,"['alternative dance', 'art pop', 'chillwave', 'dream pop', 'indie pop', 'indie rock', 'indietronica', 'neo-synthpop', 'new rave', 'nu gaze', 'shimmer pop']",61
203,0XzVyZOZF7FIsQ7VbBZ9Yy,12046,"['indie jazz', 'indie soul', 'neo r&b', 'wonky']",40
204,7IfculRW2WXyzNQ8djX8WX,1628806,"['funk', 'hip hop', 'neo soul', 'r&b', 'soul', 'urban contemporary']",70
205,6D5qrT7NQXcdvFTtCJNszl,16971,"['deep idm', 'drill and bass', 'electronica', 'indie electronica', 'indietronica', 'intelligent dance music', 'microhouse', 'minimal techno', 'ninja', 'uk experimental electronic', 'wonky']",41
206,4PQMNbMO9wHRTui4lIi57z,712,['fourth world'],21
207,4lJ38ruS6I9LrK2YB5vWEe,18,[],0
208,0DA55Vzg7t4Vl2tKXspXjX,4982,['deep melodic euro house'],32
209,76hliHkgP5eIbVqLT7NmQ3,59089,"['argentine indie', 'experimental pop', 'folktronica']",45
210,3HYdmFvDstw8ApGBxVatwQ,4,[],0
211,0t2OCIx3V1iZ8pA8bxHzz6,113,[],9
212,5aIqB5nVVvmFsvSdExz408,2346532,"['baroque', 'classical', 'early music', 'german baroque']",80
213,2u8XrClzxI2oW7ynCQEtaM,231,['czech contemporary classical'],12
