,Primary Artist,Track Name,Popularity,Added At,Release Date,Artist ID,Track ID,Playlist Date - Release Date,Days Until Discovery
2970,clipping.,Inside Out,38,2014-10-19T23:38:39Z,2014-06-10,5HJ2kX5UTwN4Ns8fB5Rn1I,4iv5cQu0DwcMWm2nxx4l1P,131 days 23:38:39.000000000,131.0
2971,Flying Lotus,Eyes Above,32,2014-10-03T21:46:22Z,2014-10-06,29XOeO6KIWxGthejQqn793,2LYPu9MO0KcjNEM7p9my6H,0 days 00:00:00.000000000,0.0
2972,The Mars Volta,Wax Simulacra,40,2014-10-26T21:26:07Z,2008-01-01,75U40yZLLPglFgXbDVnmVs,0h15E41qCgeFxEO10Tzyfa,2490 days 21:26:07.000000000,2490.0
2973,Damien Rice,9 Crimes,61,2014-10-11T22:38:54Z,2006-11-06,14r9dR01KeBLFfylVSKCZQ,5GZEeowhvSieFDiR8fQ2im,2896 days 22:38:54.000000000,2896.0
2974,Vikter Duplaix,Sensuality (DJ-Kicks),0,2014-10-12T00:29:05Z,2006-02-27,0Ot21Sy0MDkbgacGh22omF,2A5wGluoA2hd68TNCEUbPr,3149 days 00:29:05.000000000,3149.0
2975,clipping.,Taking Off,36,2014-10-19T23:39:31Z,2014-06-10,5HJ2kX5UTwN4Ns8fB5Rn1I,0L23cs3wAArpWTZTpLISmd,131 days 23:39:31.000000000,131.0
2976,Aphex Twin,CIRCLONT6A [141.98][syrobonkus mix],37,2014-10-12T00:43:11Z,2014-09-19,6kBDZFXuLrZgHnvmPu9NsG,0Zn4jYnGokSATIvpNLJAGd,23 days 00:43:11.000000000,23.0
2977,Damien Rice,I Don't Want to Change You,22,2014-10-12T00:49:52Z,2014-09-24,14r9dR01KeBLFfylVSKCZQ,47fdMTFVRIeUU5h45pXKl8,18 days 00:49:52.000000000,18.0
2978,Lisa Hannigan,O Sleep,0,2014-10-12T01:25:28Z,2011-01-01,0z7Yuv7DuDQ5SaVn4VSlLt,1nboAepvau3EQCa1sXD4O5,1380 days 01:25:28.000000000,1380.0
2979,JC Brooks & The Uptown Sound,I Am Trying to Break Your Heart,4,2014-10-14T02:58:03Z,2011-10-25,1ZAYCA0KFAMMwOgVDOOQh6,3M552XFr9CHBZb3Kr1t8OI,1085 days 02:58:03.000000000,1085.0
2980,Chief Commander Ebenezer Obey,Ajoyio,0,2014-10-12T05:29:44Z,2011-05-09,508KmjoFyijrHprjyRkrtv,75mXLO0v6AQORpEKdSkdFj,1252 days 05:29:44.000000000,1252.0
2981,Floating Points,Montparnasse,36,2014-10-12T17:39:33Z,2014-06-23,2AR42Ur9PcchQDtEdwkv4L,1nUhsyKZemnCd0t7WKZaDK,111 days 17:39:33.000000000,111.0
2982,Lapalux,Gutter Glitter,0,2014-10-14T13:22:52Z,2013-11-17,46Ce0QmI1mE2bl5VQ4P9N8,3hhD3Muvo8CTfxQPQwLUMU,331 days 13:22:52.000000000,331.0
2983,Art Zoyd,Naufrage,1,2014-10-16T05:25:34Z,1987,3UGoJfjsENJ0x9rVckIuOg,6K1WWMGSbtpCwYfhJhTIe0,10150 days 05:25:34.000000000,10150.0
2984,Matmos,You,0,2014-09-09T00:27:39Z,2013-02-19,0xBkYJzwFzcIYev4fOkvk0,07kLtnYXHm2eIdPuFohEHG,567 days 00:27:39.000000000,567.0
2985,Aphex Twin,minipops 67 [120.2][source field mix],21,2014-09-06T04:33:17Z,2014-09-05,6kBDZFXuLrZgHnvmPu9NsG,2okhtzYxqQdvCpIkASC97y,1 days 04:33:17.000000000,1.0
2986,Gabriel Garzón-Montano,Pour Maman,0,2014-09-05T06:22:31Z,2014-02-10,1R4GxRuSVTPSb6oy56SPST,5aG65tDjWVduSSrdrhF346,207 days 06:22:31.000000000,207.0
2987,Aesop Rock,Night Light,40,2014-09-05T06:29:23Z,2002-02-05,2fSaE6BXtQy0x7R7v9IOmZ,2PNQeJgqa3H2CpRcn5ypru,4595 days 06:29:23.000000000,4595.0
2988,Ava Luna,Clips,0,2014-09-05T06:22:31Z,2011-10-11,7xkkeemZnfafRwrWEtlyaN,1wnyKcbBx47D7qyXIt1B1r,1060 days 06:22:31.000000000,1060.0
2989,Machinedrum,Gunshotta,31,2014-09-05T06:28:49Z,2013-09-30,06xa1OLBsMQJFXcl2tQkH4,5IM1TAhZ0tGhPketsWMC02,340 days 06:28:49.000000000,340.0
2990,Anile,View Catcher,11,2014-09-05T06:22:31Z,2013-10-21,4EFQ72yLfJfWI3eEz59fkY,2uG9jJy5r4YFh7exICnbzp,319 days 06:22:31.000000000,319.0
2991,Moderat,Milk,30,2014-09-06T05:44:07Z,2013-08-05,2exkZbmNqMKnT8LRWuxWgy,4bgwi31bvmv2MTNayYe3jb,397 days 05:44:07.000000000,397.0
2992,Sylvan Esso,Hey Mami,56,2014-09-09T06:54:41Z,2014-05-13,39vA9YljbnOApXKniLWBZv,4gB5Idv1iw8jgxyEvuwPVA,119 days 06:54:41.000000000,119.0
2993,Lia Ices,Daphne,27,2014-09-05T06:22:31Z,2011-01-25,2hy115qI1RfVvSeSvKfZj3,0HbnGaMzBC0LUw3PcTQW5A,1319 days 06:22:31.000000000,1319.0
2994,Emilíana Torrini,Bleeder,13,2014-09-21T07:22:02Z,2008-09-09,08j69Ndyx1P7RLO3Janb5P,58USdlcKclQhpSGBHibg9k,2203 days 07:22:02.000000000,2203.0
2995,Susana Baca,Maria Lando,34,2014-09-05T06:22:31Z,2007-03-26,1DiaZsjdOzFCdk7Dw9KIs0,363nd7Fxruaf0CrQnK7p0m,2720 days 06:22:31.000000000,2720.0
2996,Nujabes,Feather (feat. Cise Starr & Akin),0,2014-09-21T06:55:23Z,2014-09-09,3Rq3YOF9YG9YfCWD4D56RZ,2s6J8fjaiJRhZJ1eZIeBDt,12 days 06:55:23.000000000,12.0
2997,Johannes Brahms,"Symphony No. 3 in F Major, Op. 90 (version for piano 4 hands): III. Un poco allegretto",24,2014-09-27T03:16:14Z,2002-05-16,5wTAi7QkpP6kp8a54lmTOq,1Mk9mrwz6kNeRGOQSRwIVG,4517 days 03:16:14.000000000,4517.0
2998,Malcolm Parson,Solitude (feat. Andrew Sheron & Sam Weber),0,2014-09-05T06:22:31Z,2013-11-08,1XE5IocFl74QzwZE3qUATj,6GnOtsCLthNZi36Tplfayc,301 days 06:22:31.000000000,301.0
2999,Wayne Horvitz,William Tell,0,2014-09-21T05:11:42Z,2002-09-24,487HXAyrcmBArKEcj7KYhZ,08xFN7j9V8hBQBJDfmwOx7,4380 days 05:11:42.000000000,4380.0
