,Primary Artist,Track Name,Popularity,Added At,Release Date,Artist ID,Track ID,Playlist Date - Release Date,Days Until Discovery,Followers,Genres,Artist Popularity
944,Hype Williams,The Throning,33,2019-01-22T03:21:55Z,2010-10-19,3SMaI6j8ObewCWPQFwfvui,1gL6vASU58jj8CzGluleyV,3017 days 03:21:55.000000000,3017.0,16434,"['experimental pop', 'fluxwork', 'hauntology', 'outsider house', 'vaporwave']",35
945,Weyes Blood,Andromeda,41,2019-01-22T03:56:01Z,2019-01-17,3Uqu1mEdkUJxPe7s31n1M9,0L6lVIgGqVHnmR3BIy8GHa,5 days 03:56:01.000000000,5.0,83033,"['art pop', 'chamber pop', 'chamber psych', 'experimental folk', 'freak folk', 'indie pop', 'indie rock', 'singer-songwriter']",62
946,Lisa Hannigan,Swan - Live In Dublin,16,2019-01-29T21:37:54Z,2019-01-21,0z7Yuv7DuDQ5SaVn4VSlLt,16kU9AzAuMISejZp0ig4lX,8 days 21:37:54.000000000,8.0,119574,"['chamber pop', 'folk-pop', 'indie folk', 'irish singer-songwriter']",63
947,Lisa Hannigan,Swan,40,2018-08-14T03:36:05Z,2018-08-09,0z7Yuv7DuDQ5SaVn4VSlLt,0pEHyhmU2lMlQWy2TTzR3v,5 days 03:36:05.000000000,5.0,119574,"['chamber pop', 'folk-pop', 'indie folk', 'irish singer-songwriter']",63
948,Lisa Hannigan,Undertow,6,2018-04-06T18:26:57Z,2018-04-06,0z7Yuv7DuDQ5SaVn4VSlLt,7hDyt8nk3CHSQTq87f7mHe,0 days 18:26:57.000000000,0.0,119574,"['chamber pop', 'folk-pop', 'indie folk', 'irish singer-songwriter']",63
949,Lisa Hannigan,"We, The Drowned",8,2018-03-22T18:13:11Z,2018-03-09,0z7Yuv7DuDQ5SaVn4VSlLt,7BERJZiKzc3XaGzgTlNH8c,13 days 18:13:11.000000000,13.0,119574,"['chamber pop', 'folk-pop', 'indie folk', 'irish singer-songwriter']",63
950,Lisa Hannigan,Oh! You Pretty Things,31,2017-04-07T17:37:40Z,2017-04-03,0z7Yuv7DuDQ5SaVn4VSlLt,2t5EgbRjpi9WoDYR9stPEe,4 days 17:37:40.000000000,4.0,119574,"['chamber pop', 'folk-pop', 'indie folk', 'irish singer-songwriter']",63
951,Lisa Hannigan,Undertow,0,2016-09-06T17:29:39Z,2016-01-01,0z7Yuv7DuDQ5SaVn4VSlLt,2IAXTurnIuAt0XkGKxlP18,249 days 17:29:39.000000000,249.0,119574,"['chamber pop', 'folk-pop', 'indie folk', 'irish singer-songwriter']",63
952,Lisa Hannigan,Barton,0,2016-09-06T17:29:39Z,2016-01-01,0z7Yuv7DuDQ5SaVn4VSlLt,3jbOuCDmjOkTDGDzysocGu,249 days 17:29:39.000000000,249.0,119574,"['chamber pop', 'folk-pop', 'indie folk', 'irish singer-songwriter']",63
953,Lisa Hannigan,Snow,1,2016-08-19T06:08:51Z,2016-01-01,0z7Yuv7DuDQ5SaVn4VSlLt,2Dx7CbP88KSx88nmvXHARg,231 days 06:08:51.000000000,231.0,119574,"['chamber pop', 'folk-pop', 'indie folk', 'irish singer-songwriter']",63
954,Lisa Hannigan,Prayer For The Dying,0,2016-08-12T18:37:55Z,2016-01-01,0z7Yuv7DuDQ5SaVn4VSlLt,02EWUulBYkFEj7aVJFG3Dk,224 days 18:37:55.000000000,224.0,119574,"['chamber pop', 'folk-pop', 'indie folk', 'irish singer-songwriter']",63
955,Lisa Hannigan,Fall,4,2016-08-11T19:27:54Z,2016-01-01,0z7Yuv7DuDQ5SaVn4VSlLt,3PJdMOTkkwFHAGnIVKSMqq,223 days 19:27:54.000000000,223.0,119574,"['chamber pop', 'folk-pop', 'indie folk', 'irish singer-songwriter']",63
956,Lisa Hannigan,O Sleep,0,2014-10-12T01:25:28Z,2011-01-01,0z7Yuv7DuDQ5SaVn4VSlLt,1nboAepvau3EQCa1sXD4O5,1380 days 01:25:28.000000000,1380.0,119574,"['chamber pop', 'folk-pop', 'indie folk', 'irish singer-songwriter']",63
957,Lisa Hannigan,Teeth,0,2013-02-13T05:12:58Z,2009-02-03,0z7Yuv7DuDQ5SaVn4VSlLt,5ttM4d30C3wXtndK0RuWEx,1471 days 05:12:58.000000000,1471.0,119574,"['chamber pop', 'folk-pop', 'indie folk', 'irish singer-songwriter']",63
958,Lisa Hannigan,Little Bird,0,2012-04-05T06:39:27Z,2011-09-20,0z7Yuv7DuDQ5SaVn4VSlLt,0rs8kHIrBeerfRTQ8Y88xe,198 days 06:39:27.000000000,198.0,119574,"['chamber pop', 'folk-pop', 'indie folk', 'irish singer-songwriter']",63
959,Raymond Scott,Ripples on an Evaporated Lake,9,2019-01-13T14:15:39Z,2014-02-18,31DffUzogcRBJT3Andaqtt,1TXaAlZoEYQRFvvvFNUm2E,1790 days 14:15:39.000000000,1790.0,12213,"['acousmatic', 'exotica', 'laboratorio', 'lounge', 'moog', 'space age pop']",42
960,Marquis Hill,Ego vs. Spirit,24,2019-01-29T21:45:51Z,2018-11-09,5QI54xb4Ovm8DwDkmmHbez,5IUb1WJooSTkjQqo2m1A7f,81 days 21:45:51.000000000,81.0,7833,"['contemporary jazz', 'jazz trumpet']",36
961,Marquis Hill,The Way We Play / Minority - Medley,14,2016-08-23T00:47:48Z,2016-06-24,5QI54xb4Ovm8DwDkmmHbez,3ChTIAxpxPY5OKOZeixrrM,60 days 00:47:48.000000000,60.0,7833,"['contemporary jazz', 'jazz trumpet']",36
962,Harvey Sutherland,Amethyst - Edit,8,2019-01-29T22:08:26Z,2018-11-09,4CxFlJDif0atTK3gZebcEf,71SXCwDcV6SRGPt7pDWVry,81 days 22:08:26.000000000,81.0,29394,"['australian house', 'deep house', 'float house', 'indie jazz', 'indie soul']",44
963,Harvey Sutherland,Expectations,0,2017-06-29T16:28:09Z,2017-03-24,4CxFlJDif0atTK3gZebcEf,1g1IUDajS9hJwvcptwj7dz,97 days 16:28:09.000000000,97.0,29394,"['australian house', 'deep house', 'float house', 'indie jazz', 'indie soul']",44
964,Harvey Sutherland,Bravado,0,2016-12-19T17:45:36Z,2016-11-04,4CxFlJDif0atTK3gZebcEf,5yEbI8wbfz3eiAnLfmVwQg,45 days 17:45:36.000000000,45.0,29394,"['australian house', 'deep house', 'float house', 'indie jazz', 'indie soul']",44
965,Horace Silver,Song For My Father,56,2019-02-01T06:09:37Z,1999-01-01,5ZATfKurLqflrBhv2FLht5,1CDBaGlisZlOJzvx88lL8A,7336 days 06:09:37.000000000,7336.0,61566,"['bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz fusion', 'jazz piano', 'soul jazz', 'vocal jazz']",51
966,Dosh,Mpls Rock and Roll,0,2019-01-29T21:39:54Z,2006-10-17,1DLrhgKEsP9M64oMmboEPz,6XchuUftxFdvyBxzDtWGqY,4487 days 21:39:54.000000000,4487.0,5894,"['abstract hip hop', 'folktronica']",23
967,Levi Watson,Son of Man,1,2019-01-22T03:21:55Z,2018-05-13,1UKWYyN1s3gLyFIqYdiIek,0b7NcjScmYZGQTwKJnhoOi,254 days 03:21:55.000000000,254.0,185,[],22
968,The Soft Moon,Wasting,44,2019-01-28T07:37:38Z,2015-03-31,40HeNm05FEAxGx8gUOV4my,711LRE7rORixC5AVWIuzg4,1399 days 07:37:38.000000000,1399.0,57889,"['dark post-punk', 'grave wave', 'noise pop', 'nu gaze']",45
969,Bendik Giske,Adjust,17,2019-01-29T22:19:58Z,2019-01-25,0IbWsSdsJyNM0I2cVMsl0K,3000zvYATKl01q0aj71gQG,4 days 22:19:58.000000000,4.0,1596,['experimental electronic'],22
970,Cobra Man,Everybody Party Tonight,39,2018-12-05T21:18:42Z,2018-08-24,1hOZLmKpSs0uaKbGeiWSf9,1Mc6hi4oy0xYAcclSPoQF1,103 days 21:18:42.000000000,103.0,6616,[],41
971,Parcels,Lightenup,62,2018-12-05T21:18:42Z,2018-10-12,3oKRxpszQKUjjaHz388fVA,1qtiESAzfGMw3YqJvI97ki,54 days 21:18:42.000000000,54.0,211791,"['aussietronica', 'indie soul']",66
