,index,Artist ID,Primary Artist,Added At,Release Date,Days Until Discovery,Followers,Genres,Artist Popularity,First Popularity Peak,Popularity When Discovered
860,860,4vqWC22e67XLrE2N5DI3WX,Oliver Wilde,2018-04-06T16:56:54Z,2016-05-06,700.0,1624,"['bristol indie', 'garage psych']",12,2012-02-01,15.2
861,861,4vsRWAlRRT40g7LjHiUMco,Steelism,2017-07-19T22:28:01Z,2017-06-23,26.0,2792,"['nashville indie', 'steel guitar']",31,2014-11-01,22.903225806451612
862,862,4w11tKuaiTZUwlGSEJGerF,The Nels Cline 4,2018-04-16T16:51:22Z,2018-04-13,3.0,1678,[],12,2018-04-01,91.46666666666667
863,863,4wXchxfTTggLtzkoUhO86Q,Soccer Mommy,2019-09-18T21:51:36Z,2019-01-31,230.0,97326,"['art pop', 'indie pop', 'indie rock', 'small room']",58,2018-03-01,36.8
864,864,4wo1267SJuUfHgasdlfNfc,The Raconteurs,2018-12-19T07:44:07Z,2018-12-19,0.0,576423,"['alternative rock', 'garage rock', 'indie rock', 'modern blues rock', 'modern rock', 'rock']",67,2019-06-01,32.0
865,865,4wvPcMJk7L9Rbw9Qh4kBeH,Hypnotic Brass Ensemble,2019-01-28T07:37:05Z,2013-11-17,1898.0,48456,"['brass band', 'second line', 'street band']",46,2012-06-01,5.774193548387097
866,866,4wyNyxs74Ux8UIDopNjIai,King Krule,2018-01-06T01:46:36Z,2017-10-13,85.0,417455,['indietronica'],63,2017-10-01,41.03225806451613
867,867,4x5gKT4GLdUhKGHCxXNirp,The Lyman Woodard Organization,2018-01-03T22:39:19Z,2017-11-17,47.0,1582,"['hammond organ', 'jazz funk']",21,2012-02-01,46.96774193548387
868,868,4xAwNobqzmO6mZ9O69VzkT,The Expansions,2018-11-26T23:23:22Z,2018-03-09,262.0,2728,"['british jazz', 'indie jazz']",29,2015-08-01,79.66666666666667
869,869,4xRYI6VqpkE3UwrDrAZL8L,Logic,2016-09-03T18:24:39Z,2014-10-21,683.0,4215240,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",87,2018-03-01,46.8
